departamento,porcentaje_2025,n_estimado,nota,fuente
Bogota,23.7,427877,Capital - concentra casi un cuarto del tejido,RadioNacional_Confecamaras_2025
Antioquia,13.8,249168,Segundo en stock - mayor crecimiento absoluto +15511,RadioNacional_Confecamaras_2025
Valle del Cauca,8.8,158889,Tercero,RadioNacional_Confecamaras_2025
Cundinamarca,6.7,120973,Anillo metropolitano de Bogota,RadioNacional_Confecamaras_2025
Resto (29 departamentos),47.0,848657,Distribuidas en 29 departamentos,RadioNacional_Confecamaras_2025
