ranking,nit,razon_social,supervisor,region,departamento,ciudad,ciiu,macrosector,ingresos_2024,ganancia_2024,activos_2024,pasivos_2024,patrimonio_2024,ingresos_2023,ganancia_2023,activos_2023,pasivos_2023,patrimonio_2023,grupo_niif
11,900818921,KOPPS COMMERCIAL S.A.S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,G4632 - Comercio al por mayor de bebidas y tabaco,COMERCIO,11944730369,1061908132,6250124762,4779112109,1471012653,10793868691,940513570,5738266679,4605941837,1132324842,20 NIIF Plenas - Separado Grupo 1
12,890900943,COLOMBIANA DE COMERCIO SA ,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,"G4741 - Comercio al por menor de computadores, equipos periféricos, programas de informática y equipos de telecomunicaciones en establecimientos especializados",COMERCIO,11887731620,492207000,5549481390,2876502336,2672979054,11144895543,276256151,5160566053,2833074408,2327491645,10 NIIF Plenas - Individual Grupo 1
13,800021308,DRUMMOND LTD,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,B0510 - Extracción de hulla (carbón de piedra),MINERO-HIDROCARBUROS,11495989482,957722252,11695816465,3982188256,7713628209,15514019870,3265990317,11827817835,3754794706,8073023129,10 NIIF Plenas - Individual Grupo 1
14,860002554,PRIMAX COLOMBIA S.A. ,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,"G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",COMERCIO,10521119421,158790529,2042644175,1488288046,554356129,9045379712,88139470,2037978253,1492867255,545110998,20 NIIF Plenas - Separado Grupo 1
15,900531210,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,H4930 - Transporte por tuberías,SERVICIOS,9977736240,5269483525,20460889299,2992478739,17468410560,9938690273,4706946799,19592595355,2980905574,16611689781,20 NIIF Plenas - Separado Grupo 1
16,860005224,BAVARIA & CIA S.C.A,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,"C1103 - Producción de malta, elaboración de cervezas y otras bebidas malteadas",MANUFACTURA,8615774351,2306254715,13614435259,9470246097,4144189162,8012943074,2086546783,12011076327,9294528503,2716547824,20 NIIF Plenas - Separado Grupo 1
17,890107487,SUPERTIENDAS Y DROGUERIAS OLIMPICA S.A,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",COMERCIO,7129192126,63653751,5730364083,3478879266,2251484817,7884547903,52183266,5554379071,3465514811,2088864260,GRUPO 1
18,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P. - telefonica,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,J6110 - Actividades de telecomunicaciones alámbricas,SERVICIOS,6672179102,-466957341,14486346854,10963512187,3522834667,7118438366,-680807983,13437988055,9450391664,3987596391,GRUPO 1
19,800249860,CELSIA COLOMBIA S.A. E.S.P. ANTES EMPRESA DE ENERGIA DEL PACIFICO S.A. E.S.P.- EPSA,SUPERFINANCIERA,Costa Pacífica,VALLE,YUMBO,D3513- Distribución de energía electrica,SERVICIOS,6547567046,325532359,13837464000,9100037000,4737427000,5720869479,441875237,12271385138,7553085285,4718299853,GRUPO 1
20,901380949,CARIBEMAR DE LA COSTA S.A.S. E.S.P.,SUPERSERVICIOS,Costa Atlántica,BOLIVAR,CARTAGENA,"D3514 - Suministro de electricidad, gas, vapor y aire acondicionado",SERVICIOS,6351548754,-253414590,7228846434,3746420265,3482426169,5960456035,264781612,6234075847,2488658233,3745417614,GRUPO 1
21,901380930,AIR-E S.A.S. E.S.P.,SUPERSERVICIOS,Costa Atlántica,ATLANTICO,BARRANQUILLA,"D3514 - Suministro de electricidad, gas, vapor y aire acondicionado",SERVICIOS,6203926635,-1433180371,4450564524,3666464060,784100464,6113150804,122379805,4425581420,2207223537,2218357883,GRUPO 1
22,811000740,ISAGEN S.A. E.S.P.,SUPERFINANCIERA,Antioquia,ANTIOQUIA,MEDELLIN,D3511 - Generación de energia electrica,SERVICIOS,6135599160,904615597,24293244016,18731662323,5561581692,5530343986,1035150257,23578806069,18149733566,5429072503,10 NIIF Plenas - Individual Grupo 1
23,860069804,CARBONES DEL CERREJON LIMITED ,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,B0510 - Extracción de hulla (carbón de piedra),MINERO-HIDROCARBUROS,6047102083,-773134994,8824744651,4025008378,4799736273,7468899608,257259608,9233137698,4282535705,4950601993,GRUPO 1
24,800242106,SODIMAC COLOMBIA SA,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,COMERCIO,5991097107,282877694,4142412178,2392953682,1749458496,5769458068,306726691,4026518609,2363909929,1662608680,20 NIIF Plenas - Separado Grupo 1
25,800251163,OLEODUCTO CENTRAL S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,H4930 - Transporte por tuberías,SERVICIOS,5975161078,3493511756,7747235936,3120957260,4626278676,6142918256,2967870892,7014519635,3087230169,3927289466,GRUPO 1
26,860005223,CHEVRON PETROLEUM COMPANY,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,"G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",COMERCIO,5868986000,81261000,1670943000,1107903000,563040000,5720906000,12764000,1518165000,1436396000,81769000,20 NIIF Plenas - Separado Grupo 1
27,800149695,DROGUERIAS Y FARMACIAS CRUZ VERDE SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,"G4773 - Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados",COMERCIO,5511646479,55891235,4145775740,3444404771,701370969,5149466005,-53135854,3462428224,2818043072,644385152,10 NIIF Plenas - Individual Grupo 1
28,900331322,VERANO ENERGY (SWITZERLAND) AG SUCURSAL ,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,B0610 - Extracción de petróleo crudo,MINERO-HIDROCARBUROS,5483318686,699029832,13857298449,8339127745,5518170704,5407525470,478527332,11413262802,7380185512,4033077290,20 NIIF Plenas - Separado Grupo 1
29,890903858,INDUSTRIA NACIONAL DE GASEOSAS S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,"C1104 - Elaboración de bebidas no alcohólicas, producción de aguas minerales y otras aguas embotelladas",MANUFACTURA,5161404728,-45444421,3179245804,2421278243,757967561,4879121916,-44515646,2849512934,2062853642,786659292,10 NIIF Plenas - Individual Grupo 1
30,900585067,C.I. TRAFIGURA PETROLEUM COLOMBIA S.A.S.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,"G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",COMERCIO,4870423460,3909025,560897856,525951940,34945916,6334806765,2282725,612017655,585394629,26623026,20 NIIF Plenas - Separado Grupo 1
31,830136799,BIOMAX BIOCOMBUSTIBLES S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,"G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",COMERCIO,4512550305,104735067,1610218673,1039206512,571012161,3763632392,70001853,1580336163,1036302854,544033309,10 NIIF Plenas - Individual Grupo 1
32,830126302,FRONTERA ENERGY COLOMBIA CORP SUCURSAL COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,B0610 - Extracción de petróleo crudo,MINERO-HIDROCARBUROS,4250244656,-6891758,7899028475,2326531943,5572496532,4609881028,580458521,7345255877,1955773166,5389482711,10 NIIF Plenas - Individual Grupo 1
33,900155107,CENCOSUD COLOMBIA S.A,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",COMERCIO,4212866602,-304374676,5830008740,2156274597,3673734143,4425317092,-4709772,5663373589,1685264770,3978108819,GRUPO 1
34,800245746,TERMOBARRANQUILLA S.A. E.S.P.,SUPERSERVICIOS,Costa Atlántica,ATLANTICO,SOLEDAD,D3511 - Generación de energia electrica,SERVICIOS,4169727229,457272395,3554016443,2128796569,1425219874,3771230360,638251767,3327164740,2065352868,1261811872,GRUPO 1
35,860016610,INTERCONEXIÓN ELÉCTRICA S.A. E.S.P. - ISA,SUPERFINANCIERA,Antioquia,ANTIOQUIA,MEDELLIN,D3512 - Transmision d energia electrica,SERVICIOS,4130985568,2801293469,24737994973,8447199655,16290795318,3743386660,2457767382,24737994973,8447199655,16290795318,10 NIIF Plenas - Individual Grupo 1
36,900780510,AUTOMOTORES TOYOTA COLOMBIA SAS ,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,G4511 - Comercio de vehículos automotores nuevos,COMERCIO,4028230390,352208548,978447288,623309458,355137830,4163255418,213636142,809220780,550685462,258535318,20 NIIF Plenas - Separado Grupo 1
37,811009788,DISTRACOM S.A,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN,G4731 - Comercio al por menor de combustible para automotores,COMERCIO,3874476933,76995474,1869536441,796493130,1073043311,3383799821,67135526,1652330678,656282841,996047837,GRUPO 1
38,899999082,GRUPO ENERGÍA DE BOGOTÁ S.A. E.S.P.,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,D3512 - Transmision d energia electrica,SERVICIOS,3716639484,2462296362,30311684221,11150010652,19161673569,3705547654,2592744771,29181732950,10273460882,18908272068,GRUPO 1
39,890900266,GRUPO ARGOS S.A.,SUPERFINANCIERA,Antioquia,ANTIOQUIA,MEDELLIN,K6613 - Otras actividades relacionadas con el mercado de valores,SERVICIOS,3535660135,2531987388,22014673092,3246981578,18767691514,1427217113,789341387,19610132465,2627184666,16982947799,20 NIIF Plenas - Separado Grupo 1
40,860026895,ITALCOL SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,C1090 - Elaboración de alimentos preparados para animales,MANUFACTURA,3189145272,126152351,998310481,442223277,556087204,3666597014,121244137,942808241,477047443,465760798,10 NIIF Plenas - Individual Grupo 1
41,830028931,Samsung Electronics Colombia S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,"G4652 - Comercio al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones",COMERCIO,3188315636,32119221,1517883060,1200531673,317351387,3126228485,34042150,1398163523,1112931357,285232166,20 NIIF Plenas - Separado Grupo 1
42,890300466,TECNOQUIMICAS S.A.,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI,G4669 - Comercio al por mayor de otros productos n.c.p.,COMERCIO,3134365769,425586482,4218685390,959947241,3258738149,3039820499,278417207,4106765381,1351150129,2755615252,GRUPO 1
43,830113630,ZONA FRANCA CELSIA S.A. E.S.P.,SUPERSERVICIOS,Costa Atlántica,ATLANTICO,BARRANQUILLA,D3511 - Generación de energia electrica,SERVICIOS,3087364460,402005000,2007310501,1185559686,821750815,1778602070,104472322,1982078246,1555031581,427046665,20 NIIF Plenas - Separado Grupo 1
44,860001697,GASEOSAS LUX S.A.S.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN,"C1104 - Elaboración de bebidas no alcohólicas, producción de aguas minerales y otras aguas embotelladas",MANUFACTURA,3048341944,135143749,2139630789,1129267702,1010363087,2858991826,91681563,2058144391,1192714483,865429908,GRUPO 2
45,819001667,PETROLEOS DEL MILENIO  S.A.S,SUPERTRANSPORTE,Costa Atlántica,ATLANTICO,BARRANQUILLA,"G4661 - Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",COMERCIO,3030538337,44715651,1061073296,725972851,335100445,2199458279,26026850,843995845,553611051,290384793,10 NIIF Plenas - Individual Grupo 1
46,830114921,Colombia Movil S A E S P,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,J6120 - Actividades de telecomunicaciones inalámbricas,SERVICIOS,2956157691,363139918,5667870596,5269719514,398151082,2695937154,-201933445,5537445381,5487849437,49595944,10 NIIF Plenas - Individual Grupo 1
47,900166687,CONTINENTAL GOLS LIMITED SUCURSAL COLOMBIA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN,B0722 - Extracción de oro y otros metales preciosos,MINERO-HIDROCARBUROS,2900582365,789943300,4630727027,1683677735,2947049292,2257860166,475673657,4338207958,2257603009,2080604949,40 NIIF Pymes - Individual Grupo 2
48,900943243,SURAMERICA COMERCIAL SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI,"G4719 - Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general), bebidas (alcohólicas y no alcohólicas) y tabaco",COMERCIO,2869448009,170721732,1478670239,695310411,783359828,2422498980,74016294,1436539661,857061690,579477971,20 NIIF Plenas - Separado Grupo 1
49,890903939,POSTOBON S.A. ,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN,"C1104 - Elaboración de bebidas no alcohólicas, producción de aguas minerales y otras aguas embotelladas",MANUFACTURA,2846700531,44074579,3380831634,1828906006,1551925628,2937383558,46202119,3511322755,2005566771,1505755984,20 NIIF Plenas - Separado Grupo 1
50,890304130,ALIMENTOS CARNICOS S.A.S. ,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN,C1011 - Procesamiento y conservación de carne y productos cárnicos,MANUFACTURA,2844632077,174285795,2969722270,1740694481,1229027789,2938125857,95423153,2664296967,1583831135,1080465832,10 NIIF Plenas - Individual Grupo 1
51,890901271,CONTEGRAL S.A.S.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ENVIGADO,C1090 - Elaboración de alimentos preparados para animales,MANUFACTURA,2842585089,137147945,1174310947,597897751,576413196,3661018816,150761927,1172245760,580565829,591679931,GRUPO 1
52,830025205,AES COLOMBIA Y CIA S C A E S P,SUPERSERVICIOS,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,D3511 - Generación de energia electrica,SERVICIOS,2826401761,230675477,2714220498,1197192728,1517027770,3004342481,665438526,3023758435,1734937483,1288820952,10 NIIF Plenas - Individual Grupo 1
53,900491889,MASSER S.A.S  ,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA,G4731 - Comercio al por menor de combustible para automotores,COMERCIO,2762254509,39033,132590019,124596627,7993392,2019710523,-3110054,105910488,97956130,7954358,414
54,899999094,"EMPRESA DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BOGOTÁ E.S.P",SUPERSERVICIOS,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,"E3600 - Captación, tratamiento y distribución de agua",SERVICIOS,2729935794,351627617,11767169336,5975502178,5791667158,2582303736,280350044,10823525769,5408944302,5414581467,10 NIIF Plenas - Individual Grupo 1
55,830078038,CERREJON ZONA NORTE S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,B0510 - Extracción de hulla (carbón de piedra),MINERO-HIDROCARBUROS,2666294536,-470976907,6175179389,1565696300,4609483089,3549559437,748592787,5642769399,1211030326,4431739073,20 NIIF Plenas - Separado Grupo 1
56,860072134,HOCOL S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,B0610 - Extracción de petróleo crudo,MINERO-HIDROCARBUROS,2660692144,55014897,4619613995,1661496263,2958117732,2785373764,257851409,4502750496,1770393592,2732356904,20 NIIF Plenas - Separado Grupo 1
57,900323853,TELEPERFORMANCE COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,N8220 - Actividades de centros de llamadas (call center),SERVICIOS,2655177809,190071244,1485350599,602461354,882889245,2555695428,95190624,1235413588,470868926,764544662,GRUPO 2
58,890101691,GASES DEL CARIBE S.A. EMPRESA DE SERVICIOS PUBLICOS,SUPERSERVICIOS,Costa Atlántica,ATLANTICO,BARRANQUILLA,D3520 - Producción de gas; distribución de combustibles gaseosos por tuberías,SERVICIOS,2635568566,320401020,3004469909,2481179587,523290322,2232547309,317043566,2633538402,2114918942,518619460,GRUPO 1
59,900092385,UNE EPM TELECOMUNICACIONES S.A.,SUPERFINANCIERA,Antioquia,ANTIOQUIA,MEDELLIN,J6110 - Actividades de telecomunicaciones alámbricas,SERVICIOS,2633200656,14947244,4960485075,4560590839,399894236,2792985859,-1144769115,4958407762,4599673903,358733859,20 NIIF Plenas - Separado Grupo 1
60,890112475, CI ENERGIA SOLAR SAS ESWINDOWS ,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA,C2511 - Fabricación de productos metálicos para uso estructural,MANUFACTURA,2624920215,200730299,1937647052,729105351,1208541701,2736501986,260578851,1681838941,662176155,1019662786,20 NIIF Plenas - Separado Grupo 1
61,860031606,DIANA CORPORACION SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,C1051 - Elaboración de productos de molinería,MANUFACTURA,2485955399,-18286553,1538894537,1248854151,290040386,2603130874,-10849579,1316368665,1010423339,305945326,10 NIIF Plenas - Individual Grupo 1
62,900646156,TRAFIGURA MARKETING COLOMBIA SAS ESP,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,"G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",COMERCIO,2482063868,-40426393,498690172,520111501,-21421329,2984832831,85737108,525567426,506185415,19382011,10 NIIF Plenas - Individual Grupo 1
63,901210452,TERPEL EXPORTACIONES CI SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,G4731 - Comercio al por menor de combustible para automotores,COMERCIO,2462917202,23962260,196576850,140583929,55992921,2701469298,1083372,205383456,173352795,32030661,20 NIIF Plenas - Separado Grupo 1
64,860025792,RENAULT SOCIEDAD DE FABRICACION DE AUTOMOTORES S.A.S  ,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ENVIGADO,C2910 - Fabricación de vehículos automotores y sus motores,MANUFACTURA,2426039216,-77125187,1184661352,1013363763,171297589,2820231351,-82518301,982259973,936092075,46167898,50 NIIF Pymes - Separado Grupo 2
65,890201881,AVSA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,A0150 - Explotación mixta (agrícola y pecuaria),AGROPECUARIO,2423164353,214918935,1236511694,339499210,897012484,2217141735,80618545,1155151323,468858701,686292622,20 NIIF Plenas - Separado Grupo 1
66,900493698,GEOPARK COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,B0610 - Extracción de petróleo crudo,MINERO-HIDROCARBUROS,2420367108,364240176,5581712622,3824603995,1757108627,3042745811,822824629,3966439830,1643348456,2323091374,grupo 1
67,890912462,TAMPA CARGO S.A.S,SUPERTRANSPORTE,Antioquia,ANTIOQUIA,RIONEGRO,H5111 - Transporte aéreo nacional de pasajeros,SERVICIOS,2399824918,37668302,2956982385,2184839917,772142467,2450477655,-247736314,2381678954,1735866078,645812875,10 NIIF Plenas - Individual Grupo 1
68,890300546,COLGATE PALMOLIVE COMPAÑIA,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI,"C2023 - Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",MANUFACTURA,2382092359,70729159,950110225,579298964,370811261,2322874942,90936079,849894210,519549215,330344995,GRUPO 1
69,900667590,INTERCOLOMBIA S.A. E.S.P,SUPERSERVICIOS,Antioquia,ANTIOQUIA,MEDELLIN,D3512 - Transmision d energia electrica,SERVICIOS,2367311487,57340226,447208855,296264275,150944580,2117354172,52374212,455002720,321892111,133110609,10 NIIF Plenas - Individual Grupo 1
70,900319753,PRICESMART COLOMBIA SAS ,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",COMERCIO,2360791615,-8951612,1208104164,771535773,436568391,2057626328,-21065090,1146489900,698926716,447563184,GRUPO 1
71,890704196,AEROVIAS DE INTEGRACION REGIONAL S.A.,SUPERTRANSPORTE,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,H5111 - Transporte aéreo,SERVICIOS,2328344538,-270295549,1385849279,1346547347,39301932,2247093291,-26792532,1071289585,1048045467,23244118,GRUPO 1
72,901339011,METRO LINEA 1 SAS,SUPERTRANSPORTE,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,F4210 - Construcción de carreteras y vías de ferrocarril,CONSTRUCCIÓN,2316645038,303481529,3302973322,2767530733,535442589,1412264370,247547148,1588843569,1335532025,253311543,10 NIIF Plenas - Individual Grupo 1
73,800059470,Esenttia S.A.,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA,C2013 - Fabricación de plásticos en formas primarias,MANUFACTURA,2311463709,75313049,3507222200,565195799,2942026401,2734142492,199483277,3040910241,466027054,2574883187,10 NIIF Plenas - Individual Grupo 1
74,900017447,FALABELLA DE COLOMBIA S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,"G4719 - Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general), bebidas (alcohólicas y no alcohólicas) y tabaco",COMERCIO,2307560639,13431391,1717460919,1371452751,346008168,2241089431,-21410957,1370632716,1040866872,329765844,20 NIIF Plenas - Separado Grupo 1
75,891304762,ITALCOL DE OCCIDENTE S.A.,SUPERSOCIEDADES,Costa Pacífica,VALLE,PALMIRA,C1090 - Elaboración de alimentos preparados para animales,MANUFACTURA,2280037811,121583567,767543065,270372083,497170982,2534177893,96680151,680512139,284424724,396087415,20 NIIF Plenas - Separado Grupo 1
76,800197463,POLLOS EL BUCANERO S.A. ,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI,C1011 - Procesamiento y conservación de carne y productos cárnicos,MANUFACTURA,2273429636,15725158,1735759565,1082633259,653126306,2180209077,-209912459,1840853850,1203452702,637401148,GRUPO 1
77,890105526,PROMIGAS S.A. E.S.P.,SUPERFINANCIERA,Costa Atlántica,ATLANTICO,BARRANQUILLA,H4930 - Transporte por tuberías,SERVICIOS,2272903850,1060452884,12201102320,5719967160,6481135160,2019120125,1011522536,11050182098,5253051448,5797130650,GRUPO 1
78,890201230,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,SUPERSERVICIOS,Centro - Oriente,SANTANDER,BUCARAMANGA,"D3514 - Suministro de electricidad, gas, vapor y aire acondicionado",SERVICIOS,2250338238,252159480,3047068715,1859561772,1187506943,2098322707,220901523,2659161420,1575939919,1083221501,10 NIIF Plenas - Individual Grupo 1
