ranking,nit,razon_social,supervisor,region,departamento,ciudad,ciiu,macrosector,ingresos_2024,ganancia_2024,activos_2024,pasivos_2024,patrimonio_2024,ingresos_2023,ganancia_2023,activos_2023,pasivos_2023,patrimonio_2023,grupo_niif
1,899999068,ECOPETROL S.A,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,B0610 - Extracción de petróleo crudo,MINERO-HIDROCARBUROS,113923310323,14934704562,214240962390,130544063451,83696898939,129508676028,19062090906,198732048468,120339989405,78392059063,GRUPO 1
2,900112515,REFINERIA DE CARTAGENA S.A.,SUPERSERVICIOS,Costa Atlántica,BOLIVAR,CARTAGENA,"C1921 - Coquización, fabricación de productos de la refinación del petróleo y actividad de mezcla de combustibles",MANUFACTURA,25860914507,-262862567,39503859530,11927362818,27576496712,32050663229,3491071128,37267017658,12526423635,24740594023,GRUPO 1
3,830095213,ORGANIZACIÓN TERPEL S.A.,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,"G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",COMERCIO,24752011682,530755958,7971211913,4621825212,3349386701,23048284871,285273513,7357710447,4606665920,2751044527,GRUPO 1
4,890904996,EMPRESAS PÚBLICAS DE MEDELLÍN E.S.P. ,SUPERFINANCIERA,Antioquia,ANTIOQUIA,MEDELLIN,D3513- Distribución de energía electrica,SERVICIOS,20574477180,4825909328,66918060000,34455520000,32462540000,17783512710,3765281366,62699945000,33247382000,29452563000,GRUPO 1
5,900276962,D1 S.A.S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",COMERCIO,19439396106,373209902,6321816293,6104116322,217699971,17424130562,294590579,5680868613,5505506544,175362069,20 NIIF Plenas - Separado Grupo 1
6,890900608,ALMACENES EXITO S A,SUPERFINANCIERA,Antioquia,ANTIOQUIA,ENVIGADO,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco",COMERCIO,16077688645,54786315,13904222000,7215710000,6688512000,15732183876,125998337,13580684000,7480007000,6100677000,GRUPO 1
7,860063875,EMGESA S.A. E.S.P.,SUPERSERVICIOS,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,"D3514 - Suministro de electricidad, gas, vapor y aire acondicionado",SERVICIOS,15780332546,2251936168,28668950240,14463972245,14204977995,15309024322,1931621190,27536199298,14407141866,13129057432,GRUPO 1
8,800153993,COMUNICACIÓN CELULAR S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,J6120 - Actividades de telecomunicaciones inalámbricas,SERVICIOS,15602099799,692603733,26882427985,16951909575,9930518410,14854583980,1408971270,24027129176,13854214499,10172914677,GRUPO 1
9,890100577,AEROVIAS DEL CONTINENTE AMERICANO S.A. AVIANCA,SUPERTRANSPORTE,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,H5111 - Transporte aéreo nacional de pasajeros,SERVICIOS,15106042448,1098051617,22952486131,23203285004,-250798873,13575256907,224732589,18938010690,20044894930,-1106884240,10 NIIF Plenas - Individual Grupo 1
10,900480569,JERONIMO MARTINS COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",COMERCIO,13831182682,-601296636,8203243746,8158228290,45015456,12352070906,-659212268,7157733537,7031590335,126143202,20 NIIF Plenas - Separado Grupo 1
