ranking,nit,razon_social,supervisor,region,departamento,ciudad,ciiu,macrosector,ingresos_2023,ganancia_2023,activos_2023,pasivos_2023,patrimonio_2023,ingresos_2022,ganancia_2022,activos_2022,pasivos_2022,patrimonio_2022,grupo_niif
249,860000753,BOEHRINGER INGELHEIM SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.","G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",Comercio,1029553836,42293415,917213688,786491426,130722262,770853888,27983374,600967704,512538857,88428847,10 NIIF Plenas - Individual Grupo 1
250,891401858,OPERADORA AVICOLA COLOMBIA S.A.S.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN,A0145 - Cría de aves de corral,Agropecuario,1021017083,7663291,688260572,304336282,383924290,946724672,31769400,608134628,286242219,321892409,20 NIIF Plenas - Separado Grupo 1
251,891410137,SUZUKI MOTOR COLOMBIA SA,SUPERSOCIEDADES,Eje Cafetero,RISARALDA,PEREIRA,C3091 - Fabricación de motocicletas,Manufactura,1017953794,82954152,729532105,99299163,630232942,990956544,56811974,751921228,204625631,547295597,10 NIIF Plenas - Individual Grupo 1
252,830006735,ALIMENTOS POLAR COLOMBIA SAS  ,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",C1051 - Elaboración de productos de molinería,Manufactura,1016799280,31459169,520182345,347375875,172806470,917129472,35023025,578267891,407884823,170383068,10 NIIF Plenas - Individual Grupo 1
253,891400378,"""PAPELES NACIONALES SA
""",SUPERSOCIEDADES,Eje Cafetero,RISARALDA,PEREIRA,C1709 - Fabricación de otros artículos de papel y cartón,Manufactura,1014823316,33297740,820647658,539537049,281110609,847138304,1543732,797615975,538553356,259062619,20 NIIF Plenas - Separado Grupo 1
254,800221789,BRINSA S.A.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN,"C2023 - Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",Manufactura,1013804376,62736422,1003688759,576620243,427068516,905064320,59761508,908166567,493236481,414930086,20 NIIF Plenas - Separado Grupo 1
255,860512330,SERVIENTREGA S.A.,SUPERTRANSPORTE,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",H4923 - Transporte terrestre; transporte por tuberías,Servicios,1004466303,22227165,378078048,111194187,266883861,1052904870,24218592,387067243,118191955,268875288,GRUPO 1
256,819004712,C.I. TEQUENDAMA S.A.S.,SUPERSOCIEDADES,Costa Atlántica,MAGDALENA,SANTA MARTA,C1032 - Elaboración de aceites y grasas de origen vegetal refinados,Manufactura,1003528725,6379619,1239360548,998680699,240679849,1351971200,117324268,1329651375,1037598038,292053337,20 NIIF Plenas - Separado Grupo 1
257,811019012,SURAMERICANA S.A.,SUPERFINANCIERA,Antioquia,ANTIOQUIA,MEDELLIN,K6613 - Otras actividades relacionadas con el mercado de valores,Servicios,1000609000,594276000,6982646000,1028365000,5954281000,17350379,502721341,7363725012,1062854910,6300870102,GRUPO 1
258,890101815,JOHNSON & JOHNSON DE COLOMBIA SA ,SUPERSOCIEDADES,Costa Pacífica,VALLE DEL CAUCA,YUMBO,"C2023 - Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",Manufactura,992482540,43196343,643398475,317637415,325761060,1372577536,60094941,647341740,364388161,282953579,10 NIIF Plenas - Individual Grupo 1
259,891800219,EMPRESA DE ENERGIA DE BOYACA S.A. ESP,SUPERSERVICIOS,Centro - Oriente,BOYACA,TUNJA,"D3514 - Suministro de electricidad, gas, vapor y aire acondicionado",Servicios,991967221,156505284,3454151292,729931738,2724219554,889643130,188317383,3309122373,674624723,2634497650,
260,900268901,CNRIII LTD.SUCURSAL COLOMBIA EN REORGANIZACION ,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",B0510 - Extracción de hulla (carbón de piedra),Minero,990813147,124273667,993400416,764195499,229204917,811151680,262699703,1096799659,943350770,153448889,10 NIIF Plenas - Individual Grupo 1
261,890901672,CRYSTAL SAS ,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,SABANETA,"C1410 - Confección de prendas de vestir, excepto prendas de piel",Manufactura,989755260,26824908,842652731,482790866,359861865,1016470976,60035136,917166425,552376436,364789989,10 NIIF Plenas - Individual Grupo 1
262,890200474,INCUBADORA SANTANDER S.A.,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,PIEDECUESTA,A0145 - Cría de aves de corral,Agropecuario,985696997,57118830,809030984,516621632,292409352,767759104,31496541,773808862,537426497,236382365,20 NIIF Plenas - Separado Grupo 1
263,860509514,AUTOGERMANA S.A.S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",G4511 - Comercio de vehículos automotores nuevos,Comercio,983474265,69729156,783621546,626872627,156748919,882813568,67134568,658834408,551664645,107169763,10 NIIF Plenas - Individual Grupo 1
264,900848064,CONCESIONARIA VIAL ANDINA S.A.S,SUPERTRANSPORTE,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",F4210 - Obras de ingeniería civil,Construccion ,981077458,0,8059813969,4058587300,4001226669,1479748450.309,0,7512069502,3814732388,3697337114,GRUPO 1
265,805028041,SUPERTIENDAS CAÑAVERAL SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE DEL CAUCA,CALI,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",Comercio,980192971,5046964,371891048,294026008,77865040,839734336,17503358,359937325,263363674,96573651,10 NIIF Plenas - Individual Grupo 1
266,805006014,DIRECTV COLOMBIA LTDA ,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",J6020 - Actividades de programación y transmisión de televisión,Servicios,978466985,-94708009,548765400,380217379,168548021,1028613568,-67378116,645611298,381979787,263631511,20 NIIF Plenas - Separado Grupo 1
267,890102110,OLEOFLORES S.A.S. ,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA,C1031 - Extracción de aceites de origen vegetal crudos,Manufactura,978106430,24877009,439769078,253161539,186607539,1047653504,46667576,438807220,258113116,180694104,20 NIIF Plenas - Separado Grupo 1
268,805011074,ADIDAS COLOMBIA LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",G4643 - Comercio al por mayor de calzado,Comercio,971374869,16479438,661638894,543333898,118304996,858505152,13424817,568885077,467059519,101825558,10 NIIF Plenas - Individual Grupo 1
269,860039561,PFIZER SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.","G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",Comercio,970794950,17227385,787047205,465491141,321556064,933823424,43515887,661408414,356647010,304761404,10 NIIF Plenas - Individual Grupo 1
270,800194208,GESTION ENERGETICA S.A. ESP,SUPERSERVICIOS,Eje Cafetero,CALDAS,MANIZALES,"D3511 - Suministro de electricidad, gas, vapor y aire acondicionado",Servicios,970367423,-55304982,950465482,407919286,542546196,735189455,31195470,874218572,276367394,597851178,
271,860025674,CARACOL TELEVISION S A,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",J6020 - Actividades de programación y transmisión de televisión,Servicios,969494400,53802881,1283568347,644843302,638725045,1049499139,127889302,1311839711,574517008,737322703,GRUPO 1
272,900134430,NOKIA SOLUTIONS AND NETWORKS COLOMBIA LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",J6190 - Otras actividades de telecomunicaciones,Servicios,964713518,21894815,717610091,645779412,71830679,1312736768,19894548,968092796,918156932,49935864,10 NIIF Plenas - Individual Grupo 1
273,805009741,Coomeva Medicina Prepagada S.A.,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",K6511 - Seguros generales,Servicios,960860639,19639417,365363469,319736579,45626890,819169307,10187650,333804328,297307126,36497202,GRUPO 1
274,800249942,Colombiana de Licitaciones y Concesiones SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",N8299 - Otras actividades de servicio de apoyo a las empresas n.c.p.,Servicios,959038420,873044817,9879122987,2549485277,7329637710,1268821632,1178993468,9264124963,3012202921,6251922042,20 NIIF Plenas - Separado Grupo 1
275,900793991,AUTOPISTAS DEL NORDESTE SAS,SUPERTRANSPORTE,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",F4210 - Obras de ingeniería civil,Construccion ,957250726,16482577,2819144082,2799503658,19640424,901030514,-118222861,2666009173,2725890371,-59881198,GRUPO 1
276,811017000,INTERNACIONAL DE DISTRIBUCIONES DE VESTUARIO DE MODA SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,LA ESTRELLA,"C1410 - Confección de prendas de vestir, excepto prendas de piel",Manufactura,955948636,-21806670,337087373,195743211,141344162,1048407232,23098064,417663941,381463240,36200701,10 NIIF Plenas - Individual Grupo 1
277,800041829,YOKOMOTOR S.A,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN,G4511 - Comercio de vehículos automotores nuevos,Comercio,953919131,30373157,294559596,183421774,111137822,839863104,33846078,261336682,159700531,101636151,40 NIIF Pymes - Individual Grupo 2
278,860516806,PERMODA LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.","C1410 - Confección de prendas de vestir, excepto prendas de piel",Manufactura,940202542,-19037205,1193050249,711107678,481942571,931566464,5661346,1180735560,947915561,232819999,10 NIIF Plenas - Individual Grupo 1
279,900023333,AMOV COLOMBIA S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",J6190 - Otras actividades de telecomunicaciones,Servicios,937527651,945978868,7056439172,104008143,6952431029,1188692224,1336854762,6749130922,92473742,6656657180,20 NIIF Plenas - Separado Grupo 1
280,830017271,FEDERAL EXPRESS CORPORATION SUCURSAL COLOMBIA,SUPERTRANSPORTE,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",H5122 - Transporte aéreo,Servicios,935707066,-266163,104419260,41132042,63287218,934256044,-8054863,125593051,106640047,18953004,GRUPO 1
281,900806600,RELIANZ MINING SOLUTIONS S.A.S.,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,SOLEDAD,C3312 - Mantenimiento y reparación especializado de maquinaria y equipo,Manufactura,929542594,43248150,650547048,429872946,220674102,934218176,84944876,897044045,663373992,233670053,20 NIIF Plenas - Separado Grupo 1
282,900164755,ZONA FRANCA ARGOS S.A.S.,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA,"C2394 - Fabricación de cemento, cal y yeso",Manufactura,929493918,163741765,1721965565,181568266,1540397299,836465344,124443735,1662029485,160930217,1501099268,10 NIIF Plenas - Individual Grupo 1
283,900326523,PRECISAGRO S.A.S.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",C2012 - Fabricación de abonos y compuestos inorgánicos nitrogenados,Manufactura,927572163,34882203,459483381,212208846,247274535,978372224,18276626,468011659,255619327,212392332,10 NIIF Plenas - Individual Grupo 1
284,860507033,VIGILANCIA Y SEGURIDAD LTDA,SUPERVIGILANCIA,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",N8010 - Actividades de seguridad privada,Servicios,926918948.797,22793563.114,305983969.012,181766747.645,124217221.367,825372791,27952835,303511435,180572690,122938745,GRUPO 1
285,860503159,PASH SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",G4771 - Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,Comercio,924586294,536261,443230999,352675403,90555596,842598923,35721387,383309435,293290100,90019335,40 NIIF Pymes - Individual Grupo 2
286,890903024,COMERCIAL INTERNACIONAL DE EQUIPOS Y MAQUNARIA S.A.S ,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN,G4511 - Comercio de vehículos automotores nuevos,Comercio,921623300,59846999,741205786,454332727,286873059,1232816256,70996898,1087151209,830344773,256806436,20 NIIF Plenas - Separado Grupo 1
287,860002576,GENERAL DE EQUIPOS DE COLOMBIA S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,Comercio,919122219,17833424,685809885,427279908,258529977,953326528,-5384348,945446859,651345275,294101584,10 NIIF Plenas - Individual Grupo 1
288,900462511,"""British American Tobacco Colombia SAS""",SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",G4632 - Comercio al por mayor de bebidas y tabaco,Comercio,918763671,67439627,1140652867,530983233,609669634,897453312,115322999,1125442049,534947320,590494729,20 NIIF Plenas - Separado Grupo 1
289,800068713,Oleoducto de Colombia S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",H4930 - Transporte por tuberías,Servicios,918354760,404993580,845948214,429869500,416078714,872712352,426614359,787802775,301073338,486729437,10 NIIF Plenas - Individual Grupo 1
290,890900168,CERVECERIA UNIÓN SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.","C1103 - Producción de malta, elaboración de cervezas y otras bebidas malteadas",Manufactura,917660400,267915755,2076908165,1411560967,665347198,825484608,250631645,1568118598,925585783,642532815,20 NIIF Plenas - Separado Grupo 1
291,800069933,COMODIN SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN,"C1410 - Confección de prendas de vestir, excepto prendas de piel",Manufactura,912141210,-733590,685228466,610827619,74400847,402910688,9203209,490425836,462010917,28414919,40 NIIF Pymes - Individual Grupo 2
292,811008963,MULTIENLACE SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN,N8220 - Actividades de centros de llamadas (call center),Servicios,908160012,43319451,706839103,375177892,331661211,714022720,-24532332,626072380,334915407,291156973,20 NIIF Plenas - Separado Grupo 1
293,900305404,VP INGENERGIA S.A. E.S.P.,SUPERSERVICIOS,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.","G4661 - Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",Comercio,906714749,108074757,59566727,57291894,2274833,761927356,85125879,121901905,119627072,2274833,
294,890307200,CLÍNICA IMBANACO S.A.S.,SUPERSALUD,Costa Pacífica,VALLE DEL CAUCA,CALI,"Q8610 - Actividades de hospitales y clínicas, con internación",Servicios,903118959,27936675,1171850000,818967000,352883000,823886739,39513067,1056937685,730718079,326219606,GRUPO 2
295,860056150,BASF QUIMICA COLOMBIANA S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.","G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario",Comercio,896719375,-1894132,469676155,386247161,83428994,1121587584,24957731,593910165,508552752,85357413,10 NIIF Plenas - Individual Grupo 1
296,890900148,PINTUCO COLOMBIA S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN,"C2022 - Fabricación de pinturas, barnices y revestimientos similares, tintas para impresión y masillas",Manufactura,895315672,105796430,765503851,401215146,364288705,891367168,79010039,832023458,421474853,410548605,20 NIIF Plenas - Separado Grupo 1
297,900192711,CONSTRUCTORA CAPITAL BOGOTA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",F4111 - Construcción de edificios residenciales,Construccion ,892622323,122216671,2001982885,1494999925,506982960,524857184,67709088,1641693961,1257276543,384417418,10 NIIF Plenas - Individual Grupo 1
298,860007955,DETERGENTES LTDA.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.","C2023 - Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",Manufactura,892528304,61913693,637257069,372196630,265060439,766398464,3044701,703383391,457384523,245998868,20 NIIF Plenas - Separado Grupo 1
299,900365651,EMPRESA DE TRANSPORTE INTEGRADO DE BOGOTA SAS,SUPERTRANSPORTE,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",H4921 - Transporte terrestre; transporte por tuberías,Servicios,891822704,13499773,596310416,481602430,114707986,810370324,-15765730,657669196,556460983,101208213,GRUPO 2
300,800048943,TAGHLEEF LATIN AMERICA S.A.   ,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA,C2221 - Fabricación de formas básicas de plástico,Manufactura,889252272,-20905879,1157426238,727906131,429520107,1061684928,7363890,1488717818,989194645,499523173,20 NIIF Plenas - Separado Grupo 1
301,830010337,SANOFI-AVENTIS DE COLOMBIA S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.","G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",Comercio,888299587,4991039,550914142,246304676,304609466,926694784,42560834,693520236,211747358,481772878,20 NIIF Plenas - Separado Grupo 1
302,900099234,SUCDEN COLOMBIA SAS ,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",G4620 - Comercio al por mayor de materias primas agropecuarias; animales vivos,Comercio,887071205,2287182,157993646,142876781,15116865,1794841856,1450609,252317399,239487716,12829683,10 NIIF Plenas - Individual Grupo 1
303,890102768,ORGANIZACION CLINICA GENERAL DEL NORTE S.A.S.,SUPERSALUD,Costa Atlántica,ATLANTICO,BARRANQUILLA,"Q8621 - Actividades de la práctica médica, sin internación",Servicios,885916683,46197129,899922000,578117000,321805000,857460741,80634200,790505738,291458133,499047605,GRUPO 2
304,890922447,CONSTRUCCIONES EL CONDOR S.A,SUPERFINANCIERA,Antioquia,ANTIOQUIA,MEDELLIN,F4210 - Construcción de carreteras y vías de ferrocarril,Construccion ,884085086,-259665891,2391857746,1660155551,731702195,887229419,-69761559,2454469827,1463645131,990824696,GRUPO 1
305,901121179,CANPACK COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,TOCANCIPA,C2599 - Fabricación de otros productos elaborados de metal n.c.p.,Manufactura,883148289,107560722,989867699,679022553,310845146,862374464,52273380,1115835724,912551300,203284424,10 NIIF Plenas - Individual Grupo 1
306,811009244,CI COLOMBIAN MINT SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN,C2421 - Industrias básicas de metales preciosos,Manufactura,882714119,22099184,215066224,176672452,38393772,939438464,-1457220,243824157,227529569,16294588,10 NIIF Plenas - Individual Grupo 1
307,900235088,TECPETROL COLOMBIA S.A.S.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",B0610 - Extracción de petróleo crudo,Minero,882461283,145993802,850613735,437091745,413521990,811594496,321682168,1003381480,645318053,358063427,10 NIIF Plenas - Individual Grupo 1
308,890500726,NORTESANTANDEREANA DE GAS S.A. E.S.P.,SUPERSERVICIOS,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.","G4661 - Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",Comercio,881961505,68100067,686022385,289022624,396999761,905312138,68936072,668418025,293241257,375176768,
309,817001773,ASOCIACIÓN INDÍGENA DEL CAUCA A.I.C. E.P.S.I.,SUPERSALUD,Costa Pacífica,CAUCA,POPAYAN,O8430 - Actividades de planes de seguridad social de afiliación obligatoria,Servicios,880699375,-133173611,106720466,359220973,-252500507,738877837,-90888041,120014572,239341468,-119326896,CGN RES. 414/2014
310,805003626,STF GROUP SA,SUPERSOCIEDADES,Costa Pacífica,VALLE DEL CAUCA,YUMBO,"C1410 - Confección de prendas de vestir, excepto prendas de piel",Manufactura,875498971,24801136,676740286,406803239,269937047,882153728,67986887,621449643,376313732,245135911,10 NIIF Plenas - Individual Grupo 1
311,800103052,Oracle Colombia Ltda,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.","M7490 - Otras actividades profesionales, científicas y técnicas n.c.p.",Servicios,874580787,-50497913,1229765552,1150498742,79266810,752484672,6788845,920357871,805298222,115059649,10 NIIF Plenas - Individual Grupo 1
312,901354361,PARTNERS TELECOM COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",J6120 - Actividades de telecomunicaciones inalámbricas,Servicios,873675000,-874902300,4601527000,4815720000,-214193000,611168000,-1463205000,4327096000,5412710000,-1085614000,20 NIIF Plenas - Separado Grupo 1
313,860014659,DOW QUIMICA DE COLOMBIA S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",C2013 - Fabricación de plásticos en formas primarias,Manufactura,873427333,-31755658,485343976,298870331,186473645,1173027456,19129183,595942549,377888179,218054370,10 NIIF Plenas - Individual Grupo 1
314,900862215,CONCESIONARIA VIAL DEL ORIENTE SAS,SUPERTRANSPORTE,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",F4210 - Obras de ingeniería civil,Construccion ,871312315,597724067,8432193069,5579088578,2853104491,1105958969,758989269,8026029584,5694925135,2331104449,GRUPO 2
315,817001892,VATIA S.A. E.S.P.,SUPERSERVICIOS,Costa Pacífica,VALLE DEL CAUCA,CALI,"D3514 - Suministro de electricidad, gas, vapor y aire acondicionado",Servicios,870686777,9847880,426327923,336887600,89440323,685055798,29200582,282228989,215972915,66256074,
316,900319372,RED CARNICA SAS,SUPERSOCIEDADES,Costa Atlántica,CORDOBA,CIENAGA DE ORO,C1011 - Procesamiento y conservación de carne y productos cárnicos,Manufactura,867067880,-20833402,532125706,460052116,72073590,1212524160,-74380964,591682990,498775998,92906992,10 NIIF Plenas - Individual Grupo 1
317,860026753,ACESCO COLOMBIA S.A.S  ,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",C2592 - Tratamiento y revestimiento de metales; mecanizado,Manufactura,865461982,766263,778641127,452986970,325654157,1050262720,-38625874,875989277,551101383,324887894,20 NIIF Plenas - Separado Grupo 1
318,800020220,AGROINDUSTRIAL MOLINO SONORA AP SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",C1051 - Elaboración de productos de molinería,Manufactura,863063697,7646639,435610284,329126445,106483839,703826624,16060013,463560884,364290836,99270048,10 NIIF Plenas - Individual Grupo 1
319,800191700,Cueros Velez sas,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN,"C1521 - Fabricación de calzado de cuero y piel, con cualquier tipo de suela",Manufactura,862572999,30886703,578633001,410494506,168138495,748246144,39125866,542787736,405535944,137251792,40 NIIF Pymes - Individual Grupo 2
320,860002120,IBM DE COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.","G4651 - Comercio al por mayor de computadores, equipo periférico y programas de informática",Comercio,862322165,8789916,589585861,442936931,146648930,732919488,31092346,535044292,396198729,138845563,20 NIIF Plenas - Separado Grupo 1
321,890907163,COMPAÑIA INDUSTRIAL DE PRODUCTOS AGROPECUARIOS S.A.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,BELLO,C1090 - Elaboración de alimentos preparados para animales,Manufactura,861987107,15720528,281663991,217824199,63839792,765717824,6446894,320450645,269504694,50945951,10 NIIF Plenas - Individual Grupo 1
322,860005050,Mexichem Colombia SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",C2229 - Fabricación de artículos de plástico n.c.p.,Manufactura,859953005,57150020,521048035,178946505,342101530,890488576,67240762,554454190,202337130,352117060,20 NIIF Plenas - Separado Grupo 1
323,890208788,UNIDROGAS S.A.S.,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,FLORIDABLANCA,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",Comercio,858573447,18809963,662248025,478407510,183840515,821660224,14021759,585658620,420628068,165030552,10 NIIF Plenas - Individual Grupo 1
324,830012157,THOMAS GREG & SONS LIMITED (GUERNSEY) S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",M7020 - Actividades de consultoría de gestión,Servicios,857840509,163217531,771555602,156467308,615088294,1115197184,286831925,667474262,164073779,503400483,20 NIIF Plenas - Separado Grupo 1
325,891180001,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,SUPERSERVICIOS,Centro - Sur,HUILA,NEIVA,"D3514 - Suministro de electricidad, gas, vapor y aire acondicionado",Servicios,854588893,-30143814,997007835,660608265,336399570,709179186,40870785,954072210,564832450,389239760,
326,860020439,MONOMEROS COLOMBO VENEZOLANOS S.A.,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA,C2012 - Fabricación de abonos y compuestos inorgánicos nitrogenados,Manufactura,853993214,1085667,1486962309,903919203,583043106,1007871040,-87469443,1545549374,965179817,580369557,20 NIIF Plenas - Separado Grupo 1
327,891408584,FRISBY S.A. BIC,SUPERSOCIEDADES,Eje Cafetero,RISARALDA,PEREIRA,I5612 - Expendio por autoservicio de comidas preparadas,Servicios,853249254,42270015,523468844,413310684,110158160,713869184,41464205,417079378,350103224,66976154,10 NIIF Plenas - Individual Grupo 1
328,900497906,PUMA ENERGY COLOMBIA COMBUSTIBLES SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.","G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",Comercio,852178020,4569283,193227026,85297932,107929094,642225024,-596886,183639026,80279215,103359811,10 NIIF Plenas - Individual Grupo 1
329,891300529,GRASAS S.A.,SUPERSOCIEDADES,Costa Pacífica,VALLE DEL CAUCA,BUGA,C1032 - Elaboración de aceites y grasas de origen vegetal refinados,Manufactura,852049996,37796983,428824631,184332004,244492627,1018217280,28923094,537601333,329540821,208060512,10 NIIF Plenas - Individual Grupo 1
330,901174177,NITROFERT SAS,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA,"G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario",Comercio,847165140,6001391,599300944,581976315,17324629,1150761216,365459,648269467,636946229,11323238,20 NIIF Plenas - Separado Grupo 1
331,817000808,TECNOSUR S.A.S.,SUPERSOCIEDADES,Costa Pacífica,CAUCA,SANTANDER DE QUILICHAO,C1709 - Fabricación de otros artículos de papel y cartón,Manufactura,846878049,138720231,795798205,289559517,506238688,739305728,41808831,731279056,312991422,418287634,20 NIIF Plenas - Separado Grupo 1
332,811028650,MADECENTRO COLOMBIA SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN,"G4752 - Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados",Comercio,845223418,37281539,472140609,282962071,189178538,905689472,59904093,578910101,424179439,154730662,20 NIIF Plenas - Separado Grupo 1
