ranking,nit,razon_social,supervisor,region,departamento,ciudad,ciiu,macrosector,ingresos_2023,ganancia_2023,activos_2023,pasivos_2023,patrimonio_2023,ingresos_2022,ganancia_2022,activos_2022,pasivos_2022,patrimonio_2022,grupo_niif
18,860002554,PRIMAX COLOMBIA,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.","G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",Comercio,9045379712,88139470,2037978253,1492867255,545110998,7719190710,48134787,1743772612,1273542653,470229959,GRUPO 1
19,860005224,BAVARIA & CIA S.C.A,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.","C1103 - Producción de malta, elaboración de cervezas y otras bebidas malteadas",Manufactura,8012943062,2086546783,12011076327,9294528503,2716547824,6958538752,1715346644,10684176799,7529982785,3154194014,20 NIIF Plenas - Separado Grupo 1
20,890107487,SUPERTIENDAS Y DROGUERIAS OLIMPICA S.A,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",Comercio,7882552389,52183266,5554379071,3465514811,2088864260,7784681984,141530285,5301217222,3277813292,2023403930,20 NIIF Plenas - Separado Grupo 1
21,860069804,CARBONES DEL CERREJON LIMITED ,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",B0510 - Extracción de hulla (carbón de piedra),Minero,7468899608,257259608,9233137698,4282535705,4950601993,16387614720,6049034719,10449666144,8998960404,1450705740,10 NIIF Plenas - Individual Grupo 1
22,800130907,SALUD TOTAL EPS-S S.A.,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",O8430 - Actividades de planes de seguridad social de afiliación obligatoria,Servicios,7278770047,101756291,3206215487,2851057088,355158399,6210633722,173249492,3223520331,2809580907,413939424,GRUPO 2
23,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P. - telefonica,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",J6110 - Actividades de telecomunicaciones alámbricas,Servicios,7118438366,-680807983,13437988055,9450391664,3987596391,7859523104,-69917413,14825057738,10070668612,4754389126,GRUPO 1
24,900585067,"C.I. TRAFIGURA PETROLEUM COLOMBIA S.A.S,",SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.","G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",Comercio,6334806765,2282725,612017655,585394629,26623026,6574016512,-25233903,942675552,911708201,30967351,10 NIIF Plenas - Individual Grupo 1
25,800251163,OLEODUCTO CENTRAL S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",H4930 - Transporte por tuberías,Servicios,6142918256,2967870892,7014519635,3087230169,3927289466,5516384654,2837708095,8706108057,3827821807,4878286250,10 NIIF Plenas - Individual Grupo 1
26,901380930,AIR-E S.A.S. E.S.P.,SUPERSERVICIOS,Costa Atlántica,ATLANTICO,BARRANQUILLA,"D3514 - Suministro de electricidad, gas, vapor y aire acondicionado",Servicios,6113150804,122379805,4425581420,2207223537,2218357883,4727220423,-38286814,4146405469,2048510175,2097895294,
27,901380949,CARIBEMAR DE LA COSTA S.A.S. E.S.P.,SUPERSERVICIOS,Costa Atlántica,BOLIVAR,CARTAGENA,"D3514 - Suministro de electricidad, gas, vapor y aire acondicionado",Servicios,5960456035,264781612,6234075847,2488658233,3745417614,5414020711,619127177,4587804060,1697588675,2890215385,
