edad,hombres,mujeres,total
0,335852,319515,655367
1,342193,325454,667647
2,348564,331438,680002
3,354853,337347,692200
4,360992,343120,704112
5,367278,349023,716301
6,372960,354376,727336
7,377780,358912,736692
8,382441,363347,745788
9,387715,368341,756056
10,394469,374584,769053
11,396713,376639,773352
12,402776,381750,784526
13,406325,387106,793431
14,410339,390583,800922
15,414413,394158,808571
16,417666,398252,815918
17,421089,402340,823429
18,424588,406508,831096
19,428831,410143,838974
20,433138,414101,847239
21,437493,418646,856139
22,442065,423972,866037
23,447114,429674,876788
24,447441,430530,877971
25,447466,431406,878872
26,446658,433059,879717
27,446238,435551,881789
28,446618,438755,885373
29,448272,442387,890659
30,444779,444784,889563
31,441461,446123,887584
32,438469,446508,884977
33,436499,442926,879425
34,435167,440490,875657
35,433418,438377,871795
36,428354,433866,862220
37,419034,426427,845461
38,408158,416754,824912
39,397184,406256,803440
40,386057,396185,782242
41,375214,385884,761098
42,363500,378074,741574
43,355181,371405,726586
44,347695,366432,714127
45,342019,361629,703648
46,337983,359788,697771
47,333556,358009,691565
48,327905,354328,682233
49,322437,349060,671497
50,314366,342306,656672
51,304638,331363,636001
52,292679,321736,614415
53,282594,310615,593209
54,271042,301248,572290
55,263523,293318,556841
56,258650,288719,547369
57,254916,285235,540151
58,251744,282738,534482
59,249451,281682,531133
60,246740,280797,527537
61,243599,277034,520633
62,238262,274568,512830
63,234063,270247,504310
64,227715,266406,494121
65,221612,260566,482178
66,214181,254266,468447
67,205518,245976,451494
68,195406,235734,431140
69,184299,225080,409379
70,172422,213950,386372
71,161632,202364,363996
72,150901,192080,342981
73,141106,181194,322300
74,130921,170680,301601
75,121861,159336,281197
76,112574,148304,260878
77,103423,137052,240475
78,94519,126261,220780
79,85978,116051,202029
80,77521,106102,183623
81,69612,96067,165679
82,61929,86406,148335
83,54466,76723,131189
84,47243,67749,114992
85,40888,59327,100215
86,35257,51760,87017
87,30488,45096,75584
88,26247,39444,65691
89,22356,34268,56624
90,18743,29285,48028
91,15464,24571,40035
92,12492,20249,32741
93,9822,16416,26238
94,7595,13080,20675
95,5844,10214,16058
96,4441,7785,12226
97,3323,5829,9152
98,2411,4303,6714
99,1727,3104,4831
100+,2296,4307,6603
