edad,hombres,mujeres,total
0,375915,357675,733590
1,380514,362017,742531
2,385906,367096,753002
3,392867,373526,766393
4,395204,375642,770846
5,401458,380868,782326
6,405163,386361,791524
7,409401,389941,799342
8,413778,393645,807423
9,417388,397886,815274
10,421257,402144,823401
11,425275,406515,831790
12,430103,410359,840462
13,435000,414511,849511
14,439914,419167,859081
15,444957,424503,869460
16,450524,430291,880815
17,451151,431014,882165
18,451426,431755,883181
19,450794,433353,884147
20,450533,435871,886404
21,450991,439090,890081
22,453034,442867,895901
23,449569,445475,895044
24,446277,447028,893305
25,443257,447747,891004
26,441352,444304,885656
27,440106,442034,882140
28,438526,440167,878693
29,433605,435905,869510
30,424308,428678,852986
31,413395,419172,832567
32,402411,408808,811219
33,391286,398898,790184
34,380512,388699,769211
35,368778,381048,749826
36,360576,374553,735129
37,353245,369818,723063
38,347807,365200,713007
39,344116,363676,707792
40,340077,362261,702338
41,334821,358952,693773
42,329848,354041,683889
43,322232,347697,669929
44,312955,337025,649980
45,301355,327758,629113
46,291755,316934,608689
47,280589,307919,588508
48,273649,300358,574007
49,269516,296294,565810
50,266656,293416,560072
51,264449,291612,556061
52,263262,291381,554643
53,261732,291422,553154
54,259868,288539,548407
55,255703,287119,542822
56,252894,283839,536733
57,247825,281185,529010
58,243127,276514,519641
59,237063,271465,508528
60,229704,264396,494100
61,220732,255295,476027
62,210630,245797,456427
63,199581,235823,435404
64,189733,225339,415072
65,179861,216355,396216
66,171044,206698,377742
67,161641,197502,359143
68,153523,187315,340838
69,144988,177452,322440
70,136473,167260,303733
71,128051,157523,285574
72,119880,148365,268245
73,111535,139389,250924
74,103638,130042,233680
75,95689,120908,216597
76,87611,111387,198998
77,79386,102450,181836
78,72038,93740,165778
79,65388,85818,151206
80,59773,78858,138631
81,54655,73087,127742
82,49664,67650,117314
83,44628,61944,106572
84,39702,55987,95689
85,34760,50079,84839
86,29794,44346,74140
87,25263,38886,64149
88,21472,33668,55140
89,18127,28680,46807
90,15194,24179,39373
91,12429,20275,32704
92,10060,16725,26785
93,7976,13601,21577
94,6286,10837,17123
95,4800,8462,13262
96,3550,6351,9901
97,2584,4644,7228
98,1846,3363,5209
99,1311,2417,3728
100+,1809,3272,5081
