edad,hombres,mujeres,total
0,385600,366775,752375
1,388121,369027,757148
2,394740,374550,769290
3,398807,380373,779180
4,403410,384285,787695
5,408157,388297,796454
6,412107,392854,804961
7,416315,397419,813734
8,420666,402082,822748
9,425820,406201,832021
10,431052,410601,841653
11,436279,415467,851746
12,441600,420903,862503
13,447356,426638,873994
14,447940,426979,874919
15,447937,426976,874913
16,446762,427522,874284
17,445804,428860,874664
18,445487,430976,876463
19,446912,433894,880806
20,442886,435972,878858
21,439218,437281,876499
22,436031,438068,874099
23,434157,434824,868981
24,433119,432908,866027
25,431879,431515,863394
26,427364,427785,855149
27,418453,421105,839558
28,407931,412136,820067
29,397360,402297,799657
30,386635,392904,779539
31,376292,383185,759477
32,364919,376009,740928
33,357138,369972,727110
34,350210,365689,715899
35,345181,361492,706673
36,341919,360404,702323
37,338315,359418,697733
38,333461,356514,689975
39,328906,351994,680900
40,321673,346019,667692
41,312767,335676,648443
42,301480,326723,628203
43,292226,316187,608413
44,281364,307461,588825
45,274777,300191,574968
46,271066,296447,567513
47,268640,293908,562548
48,266902,292455,559357
49,266233,292599,558832
50,265233,293064,558297
51,263926,290560,554486
52,260291,289571,549862
53,258083,286709,544792
54,253580,284519,538099
55,249490,280295,529785
56,244021,275720,519741
57,237236,269111,506347
58,228802,260434,489236
59,219180,251371,470551
60,208563,241837,450400
61,199187,231770,430957
62,189780,223281,413061
63,181486,214104,395590
64,172537,205413,377950
65,164972,195693,360665
66,156935,186336,343271
67,148893,176613,325506
68,140923,167365,308288
69,133178,158729,291907
70,125196,150274,275470
71,117655,141389,259044
72,109965,132702,242667
73,102034,123532,225566
74,93806,114952,208758
75,86484,106545,193029
76,79854,98945,178799
77,74388,92376,166764
78,69417,87145,156562
79,64480,82259,146739
80,59342,76964,136306
81,54172,71246,125418
82,48767,65338,114105
83,43063,59431,102494
84,37713,53652,91365
85,33192,47999,81191
86,29092,42382,71474
87,25382,37147,62529
88,21692,32496,54188
89,18399,28060,46459
90,15338,23980,39318
91,12729,20142,32871
92,10272,16642,26914
93,8034,13251,21285
94,6210,10289,16499
95,4698,7936,12634
96,3544,6063,9607
97,2656,4662,7318
98,1962,3548,5510
99,1452,2662,4114
100+,3082,4729,7811
